Author,Title,City,State,Publisher,Year Published,ISBN
Wallace Best,"Passionately Human, No Less Divine: Religion and Culture in Black Chicago, 1915-1952",Chicago,Illinois,Princeton University Press,2007,
Heath W. Carter,Union Made: Working People and the Rise of Social Christianity in Chicago,Chicago,Illinois,Oxford University Press,2015,
Thekla Ellen Joiner,"Sin in the City: Chicago and Revivalism, 1880-1920",Chicago,Illinois,University of Missouri Press,2007,
Ken Fones-Wolf,"Trade Union Gospel: Christianity and Labor in Industrial Philadelphia, 1865-1915",Philadelphia,Pennsylvania,Temple University Press,1989,
Mary Lethert Wingerd,"Claiming the City: Politics, Faith, and the Power of Place in St. Paul",St. Paul,Minnesota,Cornell University Press,2001,
Matthew Bowman,The Urban Pulpit: New York City and the Fate of Liberal Evangelicalism,New York,New York,Oxford University Press,2014,
"Samuel C. Shepherd, Jr.","Avenues of Faith: Shaping the Urban Religious Culture of Richmond, Virginia, 1900–1929",Richmond,Virginia,University of Alabama Press,2001,
Kodi A. Roberts,Voodoo and Power: The Politics of Religion in New Orleans 1881-1940,New Orleans,Louisiana,Louisiana State University Press,2015,
Ellen Blue,"St. Mark's and the Social Gospel: Methodist Women and Civil Rights in New Orleans, 1895–1965",New Orleans,Louisiana,"University of Tennessee Press,",2011,
Margaret Lamberts Bendroth,"Fundamentalists in the City: Conflict and Division in Boston's Churches, 1885-1950",Boston,Massachusetts,Oxford University Press,2005,
Benjamin L. Hartley,"Evangelicals at a Crossroads: Revivalism and Social Reform in Boston, 1860-1910",Boston,Massachusetts,University Press of New England,2011,
H. Paul Thompson Jr.,"A Most Stirring and Significant Episode: Religion and the Rise and Fall of Prohibition in Black Atlanta, 1865-1887",Atlanta,Georgia,Northern Illinois University Press,2012,
Diane Winston,Red-Hot and Righteous: The Urban Religion of the Salvation Army ,New York,New York,Harvard University Press,1999,
Kenneth J. Heineman,A Catholic New Deal: Religion and Reform in Depression Pittsburgh,Pittsburgh,Pennsylvania,Penn State University Press,1999,
James W. Lewis,"The Protestant Experience in Gary, Indiana, 1906-1975: At Home in the City",Gary,Indiana,"University of Tennessee Press,",1992,
Paul E. Johnson,"A Shopkeeper's Millennium: Society and Revivals in Rochester, New York, 1815-1837",Rochester,New York,Hill & Wang,1978,
"Genna Rae McNeil, Houston Bryan Roberson, Quinton Hosford Dixie, Kevin McGruder","Witness: Two Hundred Years of African-American Faith and Practice at the Abyssinian Baptist Church of Harlem, New York",New York,New York,Eerdmans,2013,
Mary Beth Fraser Connolly,Women of Faith: The Chicago Sisters of Mercy and the Evolution of a Religious Community,Chicago,Illinois,Fordham University Press,2014,
Michael Phillips,"White Metropolis: Race, Ethnicity, and Religion in Dallas, 1841-2001",Dallas,Texas,University of Texas Press ,2006,
Roberto R. Trevino,The Church in the Barrio: Mexican American Ethno-Catholicism in Houston,Houston,Texas,University of North Carolina Press,2006,
"Tony Carnes and Anna Karpathakis, eds.",New York Glory: Religions in the City,New York,New York,New York University Press,2001,
Katie Day,Faith on the Avenue: Religion on a City Street,Philadelphia,Pennsylvania,Oxford University Press,2014,
"Richard Cimino, Nadia A. Mian, and Weishan Huang, eds.",Ecologies of Faith in New York City: The Evolution of Religious Institutions,New York,New York,Indiana University Press,2012,
Omar M. McRoberts,Streets of Glory: Church and Community in a Black Urban Neighborhood,Boston,Massachusetts,University of Chicago Press,2003,
Richard N. Juliani,"Priest, Parish, and People: Saving the Faith in Philadelphia's ""Little Italy""",Philadelphia,Pennsylvania,University of Notre Dame Press,2006,
Thomas A. Tweed,Our Lady of the Exile: Diasporic Religion at a Cuban Catholic Shrine in Miami,Miami,Florida,Oxford University Press,1997,
Lila Corwin Berman,"Metropolitan Jews: Politics, Race, and Religion in Postwar Detroit",Detroit,Michigan,University of Chicago Press,2015,
Timothy Matovina,"Guadalupe and Her Faithful: Latino Catholics in San Antonio, from Colonial Origins to the Present",San Antonio,Texas,John Hopkins University Press,2005,
Robert A. Orsi,"The Madonna of 115th Street: Faith and Community in Italian Harlem, 1880-1950",New York,New York,Yale University Press,1985,
Miguel A. De La Torre,La Lucha for Cuba: Religion and Politics on the Streets of Miami,Miami,Florida,University of California Press,2003,
Theresa L. Torres,The Paradox of Latina Religious Leadership in the Catholic Church: Las Guadalupanas of Kansas City,Kansas City,Missouri,Palgrave Macmillan,2013,
Eileen McMahon,What Parish Are You From?: A Chicago Irish Community and Race Relations,Chicago,Illinois,University Press of Kentucky,1995,
Dennis C. Dickerson,African American Preachers and Politics: The Careys of Chicago,Chicago,Illinois,University Press of Mississippi,2010,
Suellen Hoy,Good Hearts: Catholic Sisters in Chicago's Past,Chicago,Illinois,University of Illinois Press,2006,
Darrel M. Robertson,"The Chicago Revival, 1876: Society and Revivalism in a Nineteenth-Century City",Chicago,Illinois,Scarecrow Press,1995,
Charles Shanabruch,Chicago's Catholics: The Evolution of an American Identity,Chicago,Illinois,University of Notre Dame Press,1981,
William A. Mirola,"Redeeming Time: Protestantism and Chicago's Eight-Hour Movement, 1866-1912",Chicago,Illinois,University of Illinois Press,2015,
Frances Kostarelos,Feeling the Spirit: Faith and Hope in an Evangelical Black Storefront Church,Chicago,Illinois,University of South Carolina Press,1995,
Steven M. Avella,"This Confident Church: Catholic Leadership and Life in Chicago, 1940-1965",Chicago,Illinois,University of Notre Dame Press,1993,
Joseph John Parot,"Polish Catholics in Chicago, 1850-1920: A Religious History",Chicago,Illinois,Nothern Illinois University Press,1981,
Tobias Brinkmann,Sundays at Sinai: A Jewish Congregation in Chicago,Chicago,Illinois,University of Chicago Press,2012,
Deborah A. Skok,"More than Neighbors: Catholic Settlements and Day Nurseries in Chicago, 1893-1930",Chicago,Illinois,Northern Illinois University Press,2007,
James K. Wellman,The Gold Coast Church and the Ghetto: Christ and Culture in Mainline Protestantism,Chicago,Illinois,University of Illinois Press,1999,
Julia Marie Robinson,"Race, Religion, and the Pulpit: Rev. Robert L. Bradby and the Making of Urban Detroit",Detroit,Michigan,Wayne State University Press,2015,
Sally Howell,Old Islam in Detroit: Rediscovering the Muslim American Past,Detroit,Michigan,Oxford University Press,2014,
Angela Denise Dillard,Faith in the City: Preaching Radical Social Change in Detroit,Detroit,Michigan,University of Michigan Press,2007,
JoEllen McNergney Vinyard,"For Faith and Fortune: The Education of Catholic Immigrants in Detroit, 1805-1925",Detroit,Michigan,University of Illinois Press,1998,
Leslie Tentler,Seasons of Grace: A History of the Catholic Archdiocese of Detroit,Detroit,Michigan,Wayne State University Press,1990,
Timothy Kelly,"The Transformation of American Catholicism: The Pittsburgh Laity and the Second Vatican Council, 1950-1972",Pittsburgh,Pennsylvania,University of Notre Dame Press,2009,
Keith A. Zahniser,Steel City Gospel: Protestant Laity and Reform in Progressive-Era Pittsburgh,Pittsburgh,Pennsylvania,Routledge,2013,
Thomas F. Rzeznik,Church and Estate: Religion and Wealth in Industrial-Era Philadelphia,Philadelphia,Pennsylvania,Penn State University Press,2013,
Robert Gregg,"Sparks from the Anvil of Oppression: Philadelphia's African Methodists and Southern Migrants, 1890-1940",Philadelphia,Pennsylvania,Temple University Press,1993,
Deidre Helen Crumbley,Saved and Sanctified: The Rise of a Storefront Church in Great Migration Philadelphia,Philadelphia,Pennsylvania,University Press of Florida,2012,
William R. Sutton,Journeymen for Jesus: Evangelical Artisans Confront Capitalism in Jacksonian Baltimore,Baltimore,Maryland,Penn State University Press,1998,
Lester D. Stephens,"Science, Race, and Religion in the American South: John Bachman and the Charleston Circle of Naturalists, 1815-1895",Charleston,South Carolina,University of North Carolina Press,2000,
Dale B. Light,Rome and the New Republic: Conflict and Community in Philadelphia Catholicism Between the Revolution and the Civil War,Philadelphia,Pennsylvania,University of Notre Dame Press,1996,
Brother Thomas W. Spalding,"The Premier See: A History of the Archdiocese of Baltimore, 1789-1994",Baltimore,Maryland,John Hopkins University Press,1995,
Gerald Gamm,Urban Exodus: Why the Jews Left Boston and the Catholics Stayed,Boston,Massachusetts,Harvard University Press,1999,
Paula M. Kane,"Separatism and Subculture: Boston Catholicism, 1900-1920",Boston,Massachusetts,University of North Carolina Press,1994,
"Meaghan Dwyer-Ryan, Susan L. Porter, and Lisa Fagin Davis",Becoming American Jews: Temple Israel of Boston,Boston,Massachusetts,Brandeis University Press,2009,
James M. O'Toole,"Militant And Triumphant: William Henry O'Connell and the Catholic Church in Boston, 1859-1944",Boston,Massachusetts,University of Notre Dame Press,1993,
John C. Seitz,No Closure: Catholic Practice and Boston's Parish Shutdowns,Boston,Massachusetts,Harvard University Press,2011,
